DateTime,VIA40RDB_V_PRES,GRAC_STAPRE_LIVE,TFLORESRDB_V_PRES_L10,TFLORESRDB_V_PRES_L12,CRA46_V_PRES,7DEABRIL1_STAPRE_LIVE,CALLE30_V_PRES,ARENOSA_RED_PRESION,ARENOSA_RED_TEMPERATURA,ARENOSA_RED_FLOWRATE
1/11/2023 0:15, 244.35 , 245.15 , 241.99 , 241.64 , 244.23 , 241.70 , 247.63 , 249.93 , 71.50 ," 1,105.86 "
1/11/2023 0:30, 243.71 , 245.01 , 241.99 , 241.64 , 244.10 , 241.70 , 247.50 , 249.99 , 71.47 ," 1,076.74 "
1/11/2023 0:45, 243.78 , 244.91 , 241.03 , 241.64 , 243.84 , 241.63 , 247.57 , 249.93 , 71.54 ," 1,062.49 "
1/11/2023 1:00, 244.03 , 245.15 , 241.99 , 241.64 , 244.48 , 241.54 , 247.57 , 249.95 , 71.07 ," 1,105.36 "
1/11/2023 1:15, 244.35 , 245.10 , 241.99 , 242.60 , 244.10 , 241.44 , 247.63 , 249.98 , 70.17 ," 1,033.96 "
1/11/2023 1:30, 244.35 , 245.37 , 241.99 , 241.64 , 244.29 , 241.44 , 247.76 , 249.98 , 69.58 ," 1,068.05 "
1/11/2023 1:45, 244.35 , 245.53 , 241.99 , 241.83 , 244.23 , 241.63 , 247.85 , 250.10 , 69.77 ," 1,027.08 "
1/11/2023 2:00, 244.35 , 245.75 , 241.99 , 242.60 , 244.80 , 241.44 , 247.99 , 249.98 , 69.99 , 968.16 
1/11/2023 2:15, 244.99 , 245.85 , 242.95 , 242.60 , 245.06 , 241.84 , 248.08 , 249.99 , 70.07 ," 1,015.49 "
1/11/2023 2:30, 244.99 , 245.89 , 242.63 , 242.60 , 245.06 , 241.84 , 248.08 , 249.99 , 69.95 , 994.55 
1/11/2023 2:45, 244.99 , 245.70 , 241.67 , 241.64 , 245.06 , 241.84 , 248.08 , 249.98 , 70.04 ," 1,095.68 "
1/11/2023 3:00, 244.03 , 245.27 , 241.67 , 241.64 , 245.06 , 241.75 , 247.91 , 250.02 , 70.14 ," 1,086.20 "
1/11/2023 3:15, 244.67 , 245.61 , 242.63 , 242.60 , 244.61 , 241.56 , 247.82 , 250.02 , 70.01 ," 1,028.01 "
1/11/2023 3:30, 244.67 , 245.57 , 242.31 , 241.64 , 244.29 , 241.84 , 247.89 , 250.01 , 69.93 ," 1,052.94 "
1/11/2023 3:45, 244.03 , 245.31 , 242.05 , 242.41 , 244.16 , 241.66 , 247.72 , 249.98 , 69.98 ," 1,052.83 "
