leak_dia,leak_distance,pressure,flow_pipe,rod,leak_flow
3.5,15.3333,1190,76.752,31.96686547,152.2794973
3.5,7.6667,653,189.54,17.53047824,93.46042781
3.5,7.6667,653,58.729,16.31263982,81.36485463
3.5,7.6667,1016,76.752,26.12113198,129.525084
3.5,15.3333,1016,189.54,22.90633005,127.1632122
3.5,15.3333,1190,58.729,31.96209713,152.5471008
3.5,7.6667,1190,76.752,32.10690318,154.0495227
3.5,15.3333,653,189.54,11.91670225,82.359549
3.5,7.6667,1016,58.729,27.04302224,129.1039695
3.5,11.5,1190,76.752,32.42303462,153.3581172
3.5,15.3333,653,76.752,14.93507126,79.96061386
3.5,11.5,1190,58.729,32.56558223,153.3615309
3.5,15.3333,653,58.729,15.91120143,80.17566298
3.5,11.5,1190,189.54,29.68011465,155.6947145
3.5,11.5,1016,58.729,27.12506862,128.685216
3.5,11.5,653,58.729,16.38727565,80.83403897
3.5,7.6667,1016,189.54,25.24111183,136.2218363
3.5,15.3333,1016,76.752,26.39436842,127.6511981
3.5,7.6667,653,76.752,15.19960027,82.21684937
3.5,15.3333,1016,58.729,26.79425425,127.9195963
3.5,7.6667,1190,58.729,33.12919627,153.7020898
3.5,7.6667,1190,189.54,30.90209442,159.0266492
3.5,15.3333,1190,189.54,27.86939999,150.7124726
3.5,11.5,653,189.54,13.88499702,88.73625
3.5,11.5,1016,76.752,26.97893644,128.7581079
3.5,11.5,653,76.752,14.83926391,81.26840335
3.5,11.5,1016,189.54,23.98941795,132.471886
3,11.5,653,58.729,11.33210755,73.38009349
3,15.3333,1016,76.752,20.12588751,118.8451022
3,11.5,1190,189.54,23.12948092,140.7446921
3,15.3333,1016,189.54,17.82986953,114.4125305
3,7.6667,653,76.752,11.38166551,73.97869781
3,7.6667,1190,58.729,24.53739413,142.8981654
3,11.5,653,189.54,10.40561675,74.98680812
3,15.3333,653,189.54,9.205609629,70.01861109
3,15.3333,1190,76.752,24.0986633,141.7294521
3,11.5,1190,76.752,24.63491307,142.517008
3,15.3333,1190,58.729,24.7400665,142.0023091
3,15.3333,653,58.729,11.45225523,72.80196309
3,15.3333,1190,189.54,22.17585747,137.6505512
3,7.6667,1016,58.729,20.28722121,119.9701621
3,11.5,1016,58.729,20.54485443,119.7300474
3,7.6667,653,58.729,11.35276028,73.71099092
3,11.5,1190,58.729,24.81854244,142.6011518
3,15.3333,1016,58.729,20.23854825,119.1387149
3,11.5,1016,189.54,18.97034452,117.9594388
3,15.3333,653,76.752,11.55000047,72.17350102
3,11.5,653,76.752,11.96584316,73.28736045
3,7.6667,653,189.54,13.44464626,78.47966875
3,7.6667,1190,76.752,24.24885043,142.9022912
3,7.6667,1016,76.752,20.06233209,120.1272031
3,11.5,1016,76.752,20.4559084,119.6057693
3,7.6667,1016,189.54,20.19426734,120.4974699
3,7.6667,1190,189.54,23.4379731,142.8720367
1.5,15.3333,1190,76.752,6.603708901,52.20199771
1.5,11.5,653,76.752,3.228327433,12.30136548
1.5,11.5,653,58.729,3.292498271,13.83600075
1.5,11.5,653,189.54,2.850700375,25.88181079
1.5,15.3333,1016,58.729,5.524147032,43.88154529
1.5,7.6667,1190,76.752,6.489288309,52.39480082
1.5,7.6667,1016,58.729,5.377067549,44.0298537
1.5,15.3333,1016,76.752,5.363906859,43.79106253
1.5,11.5,1190,76.752,6.623977661,52.32391094
1.5,11.5,1016,189.54,5.072502133,43.15043225
1.5,15.3333,653,76.752,3.162239071,11.94270422
1.5,11.5,1016,58.729,5.51533254,43.96787334
1.5,7.6667,653,189.54,3.575234746,19.95358292
1.5,15.3333,653,189.54,2.558591204,24.91043655
1.5,7.6667,653,76.752,3.287610381,15.69674517
1.5,7.6667,1016,76.752,5.366645796,44.00826193
1.5,11.5,1190,58.729,6.640609741,52.35041475
1.5,7.6667,1016,189.54,5.816154498,43.66070926
1.5,15.3333,1016,189.54,4.925272608,42.53502152
1.5,7.6667,1190,58.729,6.17670693,52.42489048
1.5,11.5,1016,76.752,5.446510315,43.91797125
1.5,15.3333,1190,189.54,6.186665833,51.16677701
1.5,15.3333,1190,58.729,6.579956057,52.26918372
1.5,11.5,1190,189.54,6.26435343,51.69149216
1.5,7.6667,1190,189.54,6.366963722,52.10183588
1.5,7.6667,653,58.729,3.205322275,11.57085438
1.5,15.3333,653,58.729,3.216250101,10.6080876
4,11.5,653,76.752,20.16781102,90.02653627
4,11.5,1190,76.752,41.36433404,162.0622444
4,15.3333,1016,76.752,32.6640675,135.9776606
4,11.5,653,189.54,17.24555075,102.5330693
4,11.5,1016,189.54,30.02539816,146.8437156
4,11.5,1016,76.752,33.79266352,137.511634
4,11.5,653,58.729,20.53530752,89.19236465
4,15.3333,653,76.752,18.9995142,88.45137867
4,11.5,1190,189.54,35.70852656,170.2282766
4,11.5,1190,58.729,41.54829407,161.5846829
4,7.6667,1016,76.752,34.63967143,138.4517535
4,15.3333,1190,76.752,39.40577435,160.5499228
4,7.6667,653,189.54,21.52101781,107.9968037
4,7.6667,1190,58.729,44.05377211,162.0377495
4,15.3333,1190,189.54,34.43295277,163.7003354
4,15.3333,1190,58.729,40.06943503,160.5257682
4,15.3333,1016,58.729,33.07145684,135.9183328
4,7.6667,653,58.729,20.6888581,89.73955716
4,11.5,1016,58.729,34.51240792,136.9059141
4,7.6667,653,76.752,19.78389746,91.00412437
4,7.6667,1016,189.54,30.36336527,151.5906842
4,7.6667,1190,189.54,37.24987805,174.6830316
4,7.6667,1016,58.729,35.95072948,137.439972
4,15.3333,1016,189.54,27.9647483,140.0606203
4,7.6667,1190,76.752,42.63563551,162.9454955
4,15.3333,653,189.54,14.73336026,94.95710998
4,15.3333,653,58.729,19.6844202,88.20409858
2.5,7.6667,653,58.729,8.350819878,64.55188114
2.5,15.3333,653,76.752,8.51881915,63.46379692
2.5,15.3333,1016,76.752,14.21143336,103.3914899
2.5,7.6667,1190,58.729,17.35607905,123.9356184
2.5,7.6667,1016,189.54,14.89476018,103.2784512
2.5,11.5,1190,76.752,16.41329955,123.7757951
2.5,15.3333,653,189.54,6.677650439,58.38227092
2.5,7.6667,653,189.54,9.83335754,63.96538702
2.5,11.5,1016,58.729,14.21109258,103.9944611
2.5,7.6667,653,76.752,8.813659695,64.46346508
2.5,11.5,1016,189.54,13.65539549,101.7155721
2.5,11.5,653,76.752,8.787097906,64.02228061
2.5,11.5,1190,58.729,17.74178819,123.7593404
2.5,11.5,653,189.54,7.533905019,61.51008505
2.5,15.3333,1016,189.54,12.90805558,99.88069
2.5,15.3333,1190,189.54,16.15795893,120.230745
2.5,15.3333,1016,58.729,14.36167143,103.6460169
2.5,15.3333,1190,76.752,16.48278299,123.2723447
2.5,15.3333,653,58.729,8.780877407,63.94908884
2.5,15.3333,1190,58.729,17.40755208,123.326948
2.5,11.5,1190,189.54,16.852478,122.0231849
2.5,7.6667,1190,189.54,17.9026795,123.176051
2.5,11.5,653,58.729,8.486910475,64.36675969
2.5,7.6667,1016,76.752,14.06938936,104.0767866
2.5,7.6667,1016,58.729,13.96569057,104.119835
2.5,11.5,1016,76.752,13.92050929,103.7747167
2.5,7.6667,1190,76.752,15.88536067,123.9577286
